artwork_id,catalog_key,crawler_enabled,search_bank_name,search_card_name,source_aliases
ctbc-linepay-ve8710,ctbc-linepay,true,中國信託銀行,LINE Pay 聯名卡,中國信託銀行::LINE Pay 聯名卡||中國信託商業銀行::LINE Pay 聯名卡
mega-one,mega-one,false,,,
mega-happy,mega-happy,false,,,
mega-eyoung,mega-eyoung,false,,,
mega-world,mega-world,false,,,
mega-infinite,mega-infinite,false,,,
mega-cash-rebate,mega-cash-rebate,false,,,
mega-nextbank,mega-nextbank,false,,,
mega-unilions,mega-unilions,false,,,
mega-dual-currency,mega-dual-currency,false,,,
fubon-momo,fubon-momo,true,台北富邦銀行,momo 卡,台北富邦銀行::momo 卡||台北富邦銀行::momo卡
fubon-open-possible,fubon-open-possible,false,,,
fubon-taimall,fubon-taimall,false,,,
fubon-life,fubon-life,false,,,
fubon-costco,fubon-costco,true,台北富邦銀行,Costco 聯名卡,台北富邦銀行::Costco 聯名卡||台北富邦銀行::富邦 Costco 聯名卡
fubon-imperial,fubon-imperial,false,,,
fubon-j,fubon-j,true,台北富邦銀行,富邦 J 卡,台北富邦銀行::富邦 J 卡
fubon-diamond-insurance,fubon-diamond-insurance,false,,,
fubon-braves-guardians,fubon-braves-guardians,false,,,
fubon-howard,fubon-howard,false,,,
fubon-everrich,fubon-everrich,false,,,
taishin-gogoro,taishin-gogoro,false,,,
taishin-richart,taishin-richart,true,台新銀行,Richart 信用卡,台新銀行::Richart 信用卡||台新銀行::Richart卡
taishin-excellence,taishin-excellence,false,,,
taishin-dual-currency,taishin-dual-currency,false,,,
taishin-cathaypacific,taishin-cathaypacific,false,,,
taishin-pxmart,taishin-pxmart,true,台新銀行,大全聯信用卡,台新銀行::大全聯信用卡
taishin-skmp,taishin-skmp,false,,,
taishin-everrich,taishin-everrich,false,,,
taishin-jkopay,taishin-jkopay,false,,,
taishin-fareastone-friday,taishin-fareastone-friday,false,,,
sc-beyond,sc-beyond,false,,,
sc-linebank,sc-linebank,false,,,
sc-priority-infinite,sc-priority-infinite,false,,,
sc-cashback-signature,sc-cashback-signature,false,,,
hsbc-liveplus,hsbc-liveplus,false,,,
hsbc-travel-signature,hsbc-travel-signature,false,,,
hsbc-travel-infinite,hsbc-travel-infinite,false,,,
hsbc-travel-one,hsbc-travel-one,false,,,
hsbc-cashback-signature,hsbc-cashback-signature,false,,,
hsbc-cashback-business-titanium,hsbc-cashback-business-titanium,false,,,
esun-pi-card,esun-pi-card,true,玉山銀行,Pi 拍錢包信用卡,玉山銀行::Pi 拍錢包信用卡||玉山銀行::Pi拍錢包信用卡
esun-ubear-pink,esun-ubear,true,玉山銀行,U Bear 信用卡,玉山銀行::U Bear 信用卡
esun-eztravel,esun-eztravel,false,,,
esun-starlux-world-elite,esun-starlux-world-elite,false,,,
esun-kumamon-ku01,esun-kumamon,true,玉山銀行,熊本熊卡,玉山銀行::熊本熊卡||玉山銀行::玉山熊本熊卡
esun-unicard-white,esun-unicard,true,玉山銀行,Unicard,玉山銀行::Unicard
